
2025/02/15 (11:47:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (11:47:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (11:48:15) | ===> btop++ v.1.4.0
2025/02/15 (11:48:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (11:48:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (11:48:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (11:48:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (11:48:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (11:48:46) | ===> btop++ v.1.4.0
2025/02/15 (11:48:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (11:48:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (11:48:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (11:48:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (11:48:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (11:49:00) | ===> btop++ v.1.4.0
2025/02/15 (11:49:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (11:49:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (11:49:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
